geneNames	GSM5176138	GSM5176139	GSM5176140	GSM5176141	GSM5176142	GSM5176143	GSM5176144	GSM5176145	GSM5176146	GSM5176147	GSM5176148
KCNQ4	107.096	84.7462	39.9603	25.0612	54.2422	92.7151	373.836	52.1952	32.0722	54.6775	103.511
KCNS1	382.228	1339.74	195.196	232.863	229.837	677.686	577.276	1112.82	360.388	279.046	207.945
KCNS3	188.607	298.228	105.948	123.807	53.5277	223.92	47.7238	427.638	172.807	102.896	12.0537
KCNV1	48.9311	58.68194	29.2156	32.484415	34.705845	18.2284	54.52785	33.97745	35.42558	48.751845	50.15135
KCNV2	50.8144	141.246	18.3089	38.9861	8.74958	40.3874	67.1134	237.043	98.286	89.4074	28.1997
KCTD12	196.648	1040.005	373.774	309.8895	293.5226	838.068	810.9625	1707.93	758.7075	984.839	380.01
KCTD13	86.997	299.3375	153.213	18.41195	94.1214	98.73855	151.37365	386.055	109.449	107.68145	56.4212
KCTD15	102.026	847.16	297.74	206.019	310.246	361.416	338.246	886.142	312.905	334.056	178.692
KCTD17	108.03	95.3329	77.4682	23.3285	99.1953	63.5626	70.3642	73.0961	109.537	26.6736	27.4886
KCTD2	307.497	1261.77	405.024	263.712	390.137	594.887	343.1035	1264.644	361.426	461.098	227.746
KCTD20	318.556	1632.7	347.76	240.507	358.805	334.515	786.91	1781	342.362	548.865	257.29
KCTD3	103.091	537.662	211.578	192.311	231.662	247.383	243.028	480.835	247.392	298.113	90.791
KCTD5	135.802	1076.45	226.32	171.214	184.393	48.8338	154.886	741.757	158.589	294.017	222.493
KCTD9	322.066	994.457	559.285	418.316	560.281	442.666	434.786	700.991	369.034	508.183	360.66
KDELC1	22.9539	162.081	12.7982	103.441	116.622	118.164	208.883	595.977	288.495	364.318	115.195
KDELR1	581.469	2054.49	820.127	707.441	561.24	858.928	529.742	2107.45	763.439	926.815	366.634
KDELR2	2049.65	8025.36666666667	2481.30333333333	2245.86333333333	2132.42	4816.86666666667	3808.98666666667	10611.6766666667	4076.44666666667	5024.96333333333	2596.04
KDELR3	562.432033333333	2881.48633333333	908.836566666666	794.913766666667	881.370033333333	2030.87133333333	1999.63033333333	4714.42733333333	1845.91666666667	2303.04433333333	1132.417
KDM1A	566.543	2794.79	699.986	457.737	722.41	726.095	769.247	1811.82	523.109	525.586	432.906
KDM2A	441.760333333333	1305.187	373.763333333333	344.453333333333	393.913333333333	648.09	666.638	1488.06166666667	435.943666666667	474.503333333333	207.051666666667
KDM3A	655.373	3923.59	1319.18	679.665	1309.61	282.421	532.899	1149.57	618.108	625.406	330.071
KDM3B	707.984	2802.325	808.683	600.5965	768.688	780.633	667.9335	1872.28	738.163	944.938	551.093
KDM4A	290.5625	783.5265	249.719	209.004	183.66105	358.863	301.67205	548.2105	188.9284	286.501	147.60195
KDM4B	245.5226	640.17166	217.2461	194.97794	239.8868	125.96334	143.49444	410.79726	168.68068	219.39172	131.26916
